taskID	X	Y	D	E
0	18	171	1	0
1	76	93	1	1
2	54	10	1	0
3	211	185	1	0
4	211	168	1	2
5	155	57	1	0
6	110	9	1	0
7	197	126	1	1
8	213	36	1	0
9	46	31	1	0
10	187	170	1	2
11	99	74	1	2
12	149	83	1	0
13	84	198	1	1
14	35	86	1	1
15	184	196	1	2
16	171	127	1	2
17	143	40	1	0
18	126	75	1	0
19	172	151	1	0
20	68	24	1	1
21	73	111	1	0
22	217	196	1	0
23	214	158	1	2
24	143	3	1	1
25	5	67	1	1
26	62	48	1	0
27	207	179	1	2
28	10	199	1	2
29	41	24	1	1
30	77	127	1	1
31	126	93	1	2
32	89	36	1	2
33	67	168	1	2
34	128	110	1	2
35	175	84	1	2
36	8	198	1	1
37	108	105	1	0
38	48	192	1	0
39	112	117	1	2
40	22	32	1	1
41	179	14	1	2
42	41	166	1	2
43	92	161	1	1
44	102	29	1	1
45	55	198	1	0
46	127	154	1	1
47	183	50	1	0
48	145	4	1	2
49	134	192	1	2
50	127	118	1	2
51	214	187	1	2
52	163	171	1	1
53	36	36	1	0
54	16	70	1	0
55	221	206	1	2
56	142	183	1	0
57	116	206	1	2
58	130	104	1	0
59	51	124	1	0
60	195	216	1	0
61	91	137	1	2
62	173	161	1	0
63	165	222	1	0
64	42	63	1	1
65	175	57	1	1
66	64	220	1	2
67	183	178	1	0
68	213	94	1	0
69	29	68	1	2
70	10	153	1	2
71	124	134	1	1
72	3	34	1	0
73	60	78	1	2
74	194	153	1	1
75	211	4	1	0
76	151	106	1	1
77	108	73	1	1
78	110	96	1	2
79	175	145	1	1
80	125	31	1	1
81	89	126	1	2
82	165	68	1	0
83	184	151	1	1
84	24	203	1	1
85	77	54	1	0
86	34	204	1	0
87	79	203	1	0
88	65	108	1	0
89	145	138	1	1
90	150	71	1	2
91	167	210	1	1
92	114	68	1	0
93	143	142	1	1
94	155	172	1	2
95	32	45	1	1
96	18	40	1	1
97	156	45	1	2
98	31	43	1	0
99	165	101	1	2
100	71	13	1	1
101	64	179	1	1
102	180	183	1	1
103	210	165	1	0
104	163	170	1	1
105	37	162	1	0
106	163	50	1	1
107	185	42	1	0
108	45	9	1	2
109	172	125	1	1
110	155	58	1	2
111	19	139	1	2
112	148	176	1	1
113	3	46	1	2
114	162	5	1	1
115	2	123	1	2
116	68	183	1	0
117	79	38	1	0
118	154	100	1	1
119	146	87	1	2
120	145	202	1	2
121	125	55	1	1
122	171	137	1	0
123	164	105	1	1
124	131	133	1	0
125	197	94	1	1
126	2	75	1	1
127	78	167	1	0
128	167	119	1	2
129	25	34	1	2
130	151	40	1	1
131	30	159	1	2
132	60	149	1	1
133	55	173	1	0
134	138	107	1	1
135	216	96	1	0
136	69	45	1	1
137	50	45	1	1
138	84	90	1	1
139	171	59	1	0
140	96	133	1	2
141	101	159	1	0
142	52	166	1	1
143	113	29	1	1
144	32	111	1	1
145	132	222	1	0
146	214	102	1	2
147	13	193	1	2
148	165	212	1	1
149	72	34	1	1
150	96	129	1	0
151	199	135	1	1
152	175	145	1	0
153	123	213	1	2
154	195	135	1	0
155	75	149	1	1
156	61	159	1	1
157	181	221	1	1
158	204	206	1	1
159	77	202	1	2
160	202	156	1	0
161	54	213	1	0
162	49	94	1	0
163	114	1	1	0
164	108	62	1	0
165	217	183	1	0
166	192	175	1	2
167	76	152	1	2
168	187	80	1	0
169	73	15	1	1
170	44	151	1	2
171	80	64	1	0
172	69	19	1	2
173	117	160	1	1
174	98	81	1	2
175	52	154	1	1
176	50	98	1	0
177	95	91	1	2
178	146	176	1	1
179	95	12	1	2
180	79	200	1	1
181	6	38	1	0
182	92	196	1	1
183	109	76	1	0
184	177	206	1	0
185	20	39	1	0
186	172	210	1	0
187	136	22	1	2
188	60	149	1	1
189	167	36	1	0
190	199	217	1	0
191	115	100	1	0
192	63	152	1	1
193	102	164	1	1
194	196	179	1	2
195	63	171	1	1
196	39	14	1	0
197	19	72	1	2
198	48	169	1	1
199	39	10	1	2
200	96	174	1	0
201	115	197	1	0
202	84	202	1	2
203	26	76	1	0
204	65	135	1	0
205	141	59	1	1
206	208	108	1	1
207	192	80	1	1
208	34	98	1	0
209	217	49	1	1
210	180	135	1	1
211	108	128	1	0
212	139	94	1	0
213	204	0	1	0
214	209	184	1	2
215	57	202	1	1
216	183	135	1	2
217	176	138	1	0
218	8	153	1	0
219	115	81	1	0
220	180	140	1	1
221	151	115	1	0
222	155	179	1	0
223	147	156	1	1
224	145	31	1	2
225	67	200	1	0
226	120	136	1	1
227	169	108	1	1
228	19	82	1	0
229	187	96	1	1
230	140	75	1	2
231	221	130	1	0
232	53	148	1	0
233	219	114	1	0
234	194	78	1	0
235	101	118	1	2
236	86	91	1	1
237	22	186	1	2
238	137	88	1	0
239	86	160	1	2
240	48	222	1	0
241	188	104	1	1
242	45	198	1	0
243	111	207	1	2
244	122	97	1	2
245	19	43	1	0
246	135	180	1	1
247	94	31	1	0
248	5	49	1	0
249	95	62	1	0
250	1	69	1	0
251	208	18	1	2
252	145	207	1	2
253	51	95	1	2
254	80	147	1	0
255	218	113	1	0
256	178	87	1	0
257	101	28	1	1
258	192	119	1	0
259	36	148	1	1
260	106	150	1	2
261	39	22	1	1
262	74	80	1	1
263	162	204	1	2
264	99	193	1	0
265	19	18	1	0
266	92	152	1	2
267	156	1	1	2
268	26	199	1	0
269	195	153	1	2
270	148	65	1	0
271	48	196	1	0
272	162	56	1	2
273	179	107	1	0
274	86	9	1	2
275	141	141	1	1
276	150	3	1	1
277	65	16	1	2
278	65	25	1	2
279	137	93	1	0
280	133	212	1	2
281	208	94	1	2
282	180	152	1	1
283	140	204	1	1
284	22	13	1	1
285	157	11	1	0
286	48	151	1	2
287	18	56	1	1
288	127	91	1	1
289	170	88	1	2
290	68	151	1	0
291	137	188	1	2
292	36	143	1	1
293	149	8	1	2
294	189	126	1	0
295	157	39	1	0
296	58	201	1	2
297	73	1	1	0
298	116	218	1	1
299	18	208	1	1
