taskID;X;Y;D;E
0;26;54;1;2
1;51;69;1;2
2;115;2;1;0
3;103;10;1;0
4;107;90;1;2
5;180;116;1;2
6;207;4;1;2
7;99;191;1;0
8;73;126;1;0
9;8;23;1;0
10;72;191;1;0
11;61;219;1;1
12;141;218;1;1
13;198;131;1;0
14;92;55;1;2
15;222;128;1;1
16;13;200;1;2
17;56;64;1;2
18;206;41;1;0
19;78;211;1;0
20;48;176;1;1
21;94;52;1;0
22;186;39;1;2
23;64;44;1;2
24;22;180;1;1
25;62;207;1;2
26;81;116;1;2
27;165;14;1;1
28;125;56;1;1
29;75;100;1;1
30;200;142;1;1
31;6;201;1;1
32;45;56;1;0
33;96;0;1;0
34;88;196;1;2
35;217;32;1;0
36;99;75;1;2
37;51;123;1;1
38;87;183;1;2
39;26;220;1;2
40;50;43;1;0
41;57;135;1;2
42;37;114;1;1
43;5;168;1;2
44;11;55;1;1
45;167;160;1;0
46;45;130;1;2
47;40;162;1;0
48;195;79;1;2
49;210;188;1;0
